stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id,WGS84,Israel1993,yx,y,x,betweeness,log-betweeness,central
3,38833,הנחשול/הדייגים,רחוב: הנחשול 30 עיר: ראשון לציון רציף:  קומה:,31.984553,34.782828,0,,38833,POINT (34.782828 31.984553),POINT (179603.02042079862 654675.9361802154),[654675.9361802154 179603.02042079862],654675.9361802154,179603.02042079862,2.177924326540239E-4,-8.4319680925409,false
6,38836,ת. מרכזית לוד/הורדה,רחוב:   עיר: לוד רציף:  קומה:,31.956392,34.898098,0,,38836,POINT (34.898098 31.956392),POINT (190488.43528199603 651516.5501640389),[651516.5501640389 190488.43528199603],651516.5501640389,190488.43528199603,1.5584890646039775E-4,-8.766623568391536,false
17,38847,חיים ברלב/שדרות יצחק רבין,רחוב: חיים ברלב 5 עיר: ראשון לציון רציף:  קומה:,31.978011,34.764342,0,,38847,POINT (34.764342 31.978011),POINT (177852.936240666 653957.4605138628),[653957.4605138628 177852.936240666],653957.4605138628,177852.936240666,3.4489631139667914E-4,-7.97226673278241,false
22,38852,הולצמן/המדע,רחוב: חיים הולצמן 2 עיר: רחובות רציף:  קומה:,31.914255,34.807944,0,,38852,POINT (34.807944 31.914255),POINT (181948.20722881862 646871.7381352665),[646871.7381352665 181948.20722881862],646871.7381352665,181948.20722881862,0.0018552162168741506,-6.2897540307534,true
24,38854,מחנה צריפין/מועדון,רחוב:   עיר: ראשון לציון רציף:  קומה:,31.963668,34.836363,0,,38854,POINT (34.836363 31.963668),POINT (184654.78265373188 652341.5574670823),[652341.5574670823 184654.78265373188],652341.5574670823,184654.78265373188,3.466348693063585E-4,-7.967238581858526,false
35,38865,רשות שדות התעופה/העליה,רחוב: שדרות העליה עיר: נמל תעופה בן גוריון רציף:  קומה:,31.990876,34.8976,0,,38865,POINT (34.8976 31.990876),POINT (190452.20117035438 655340.5510086691),[655340.5510086691 190452.20117035438],655340.5510086691,190452.20117035438,0.007441749057220061,-4.90064936943004,true
36,38866,כנף/ברוש,רחוב: כנף עיר: נמל תעופה בן גוריון רציף:  קומה:,31.998767,34.879725,0,,38866,POINT (34.879725 31.998767),POINT (188765.56888226682 656220.50664646),[656220.50664646 188765.56888226682],656220.50664646,188765.56888226682,5.2005989544993E-5,-9.864151662458406,false
69,38899,ת. רכבת רחובות/הורדה,רחוב:   עיר: רחובות רציף:  קומה:,31.909394,34.806216,0,,38899,POINT (34.806216 31.909394),POINT (181782.78713805566 646333.3129942063),[646333.3129942063 181782.78713805566],646333.3129942063,181782.78713805566,3.258810435945451E-5,-10.331563233131952,false
72,38902,ברשבסקי/מנחם כהן,רחוב: ברשבסקי 19 עיר: ראשון לציון רציף:  קומה:,31.973257,34.812308,0,,38902,POINT (34.812308 31.973257),POINT (182384.66306025637 653412.8552219219),[653412.8552219219 182384.66306025637],653412.8552219219,182384.66306025637,2.742402877208485E-6,-12.806676059386382,false
74,38904,יעקב פריימן/בנימין שמוטקין,רחוב: יעקב פריימן 9 עיר: ראשון לציון רציף:  קומה:,31.975479,34.813355,0,,38904,POINT (34.813355 31.975479),POINT (182484.51886894117 653658.8914817002),[653658.8914817002 182484.51886894117],653658.8914817002,182484.51886894117,1.8505067248130382E-4,-8.594880865086814,false
75,38905,אנילביץ'/שלום אש,רחוב: אנילביץ' 13 עיר: ראשון לציון רציף:  קומה:,31.982177,34.789445,0,,38905,POINT (34.789445 31.982177),POINT (180227.38899657733 654410.0452147762),[654410.0452147762 180227.38899657733],654410.0452147762,180227.38899657733,8.095693024620204E-4,-7.119008177069379,false
76,38906,נחמיה/בית העלמין,רחוב: נחמיה 71 עיר: ראשון לציון רציף:  קומה:,31.948552,34.822422,0,,38906,POINT (34.822422 31.948552),POINT (183330.99257432952 650669.9384174478),[650669.9384174478 183330.99257432952],650669.9384174478,183330.99257432952,1.090946007444647E-6,-13.728465341389617,false
77,38907,יהודה הלוי/גבעתי,רחוב: יהודה הלוי 85 עיר: ראשון לציון רציף:  קומה:,31.967681,34.815998,0,,38907,POINT (34.815998 31.967681),POINT (182731.23100423074 652793.2824253995),[652793.2824253995 182731.23100423074],652793.2824253995,182731.23100423074,3.796700250971861E-4,-7.8762080374898575,false
81,38911,גרינשפן/יגאל אלון,רחוב: גרינשפן עיר: ראשון לציון רציף:  קומה:,31.956842,34.814839,0,,38911,POINT (34.814839 31.956842),POINT (182617.34559254904 651591.7569972251),[651591.7569972251 182617.34559254904],651591.7569972251,182617.34559254904,2.5082558863821948E-5,-10.593337819340986,false
82,38912,השומר/האבות,רחוב: השומר 22 עיר: ראשון לציון רציף:  קומה:,31.959821,34.814747,0,,38912,POINT (34.814747 31.959821),POINT (182609.83743092595 651922.1246440362),[651922.1246440362 182609.83743092595],651922.1246440362,182609.83743092595,1.6192805257351703E-4,-8.72835844129891,false
83,38913,משה שרת/יעקב קנר,רחוב: משה שרת 38 עיר: ראשון לציון רציף:  קומה:,31.992306,34.75691,0,,38913,POINT (34.75691 31.992306),POINT (177157.03894627545 655545.5032117441),[655545.5032117441 177157.03894627545],655545.5032117441,177157.03894627545,5.998522215549985E-7,-14.326582509474788,false
84,38914,הדייגים/הנחשול,רחוב: הדייגים 45 עיר: ראשון לציון רציף:  קומה:,31.98497,34.78262,0,,38914,POINT (34.78262 31.98497),POINT (179583.5424784458 654722.2535432185),[654722.2535432185 179583.5424784458],654722.2535432185,179583.5424784458,1.5338226662683818E-4,-8.782577277885414,false
86,38916,יוסף בורג/משואות יצחק,רחוב: ד''ר יוסף בורג 9 עיר: ראשון לציון רציף:  קומה:,31.968049,34.818099,0,,38916,POINT (34.818099 31.968049),POINT (182929.9804126264 652833.3783023487),[652833.3783023487 182929.9804126264],652833.3783023487,182929.9804126264,7.248749726397429E-5,-9.532096462506509,false
87,38917,יוסף בורג/כתריאל רפפורט,רחוב: ד''ר יוסף בורג עיר: ראשון לציון רציף:  קומה:,31.968936,34.820043,0,,38917,POINT (34.820043 31.968936),POINT (183114.09188298899 652931.0818651932),[652931.0818651932 183114.09188298899],652931.0818651932,183114.09188298899,5.877479220293011E-6,-12.044382592005384,false
89,38919,וייצמן/החרש,רחוב: וייצמן עיר: נס ציונה רציף:  קומה:,31.923041,34.798033,0,,38919,POINT (34.798033 31.923041),POINT (181014.4500071213 647849.4707172547),[647849.4707172547 181014.4500071213],647849.4707172547,181014.4500071213,7.913359404243826E-4,-7.141787976913375,false
90,38920,שדרות משה דיין/יוסף לישנסקי,רחוב: שדרות משה דיין עיר: ראשון לציון רציף:  קומה:,31.98568,34.764014,0,,38920,POINT (34.764014 31.98568),POINT (177825.39733120898 654807.9948522744),[654807.9948522744 177825.39733120898],654807.9948522744,177825.39733120898,0.0015786347811554784,-6.451194868020316,true
91,38921,השר חיים שפירא/יוסף ספיר,רחוב: השר חיים משה שפירא 4 עיר: ראשון לציון רציף:  קומה:,31.992583,34.751999,0,,38921,POINT (34.751999 31.992583),POINT (176693.0619302129 655578.1510188649),[655578.1510188649 176693.0619302129],655578.1510188649,176693.0619302129,0.0,-Infinity,false
92,38922,השר חיים שפירא/הרב שלום ג'רופי,רחוב: השר חיים משה שפירא 16 עיר: ראשון לציון רציף:  קומה:,31.990757,34.755683,0,,38922,POINT (34.755683 31.990757),POINT (177040.37057296984 655374.216316326),[655374.216316326 177040.37057296984],655374.216316326,177040.37057296984,0.0,-Infinity,false
94,39001,שדרות יעקב/נחמיה,רחוב: שדרות יעקב 65 עיר: ראשון לציון רציף:  קומה:,31.950002,34.819131,0,,39001,POINT (34.819131 31.950002),POINT (183020.40821157576 650831.8289881197),[650831.8289881197 183020.40821157576],650831.8289881197,183020.40821157576,5.8492158377316966E-5,-9.746617857543463,false
95,39002,שדרות יעקב/יוסף הנשיא,רחוב: שדרות יעקב 53 עיר: ראשון לציון רציף:  קומה:,31.951813,34.820214,0,,39002,POINT (34.820214 31.951813),POINT (183123.5146303996 651032.2835134306),[651032.2835134306 183123.5146303996],651032.2835134306,183123.5146303996,9.908368669505894E-4,-6.91696065176539,false
97,39004,לייב יוספזון/יעקב ברמן,רחוב: יהודה לייב יוספזון עיר: רחובות רציף:  קומה:,31.905052,34.818909,0,,39004,POINT (34.818909 31.905052),POINT (182981.67837652587 645847.4985046772),[645847.4985046772 182981.67837652587],645847.4985046772,182981.67837652587,0.0025220767091738952,-5.982672625893285,true
98,39005,הרב יעקב ברמן/הרב יהודה צבי מלצר,רחוב: הרב יעקב ברמן 4 עיר: רחובות רציף:  קומה:,31.901879,34.819443,0,,39005,POINT (34.819443 31.901879),POINT (183030.94094120938 645495.4734065246),[645495.4734065246 183030.94094120938],645495.4734065246,183030.94094120938,1.8913810360629283E-4,-8.573033102829347,false
99,39006,ברמן/מלצר,רחוב: הרב יעקב ברמן עיר: רחובות רציף:  קומה:,31.90281,34.818922,0,,39006,POINT (34.818922 31.90281),POINT (182982.0238368757 645598.8846740249),[645598.8846740249 182982.0238368757],645598.8846740249,182982.0238368757,1.4160952396725178E-4,-8.862437119310751,false
