CityName,Neighborhood,Lat,Long
רמת השרון,הכפר הירוק,32.138817,34.830646
פתח תקווה,נווה גן,32.091913,34.877506
מודיעין-מכבים-רעות*,מע''ר,31.901228,35.00566
הרצלייה,קרית שחקים,32.163572,34.817356
תל אביב -יפו,קריית המוזיאונים,32.10354,34.804454
תל אביב -יפו,צמרות איילון,32.083725,34.798195
בני ברק,אזור תעשייה הלח''י,32.102893,34.830126
פתח תקווה,בית עלמין ירקון,32.106316,34.863189
פתח תקווה,אזור מסחר ירקונים,32.111873,34.90133
תל אביב -יפו,מונטיפיורי,32.073348,34.793203
תל אביב -יפו,תל כביר נווה עופר,32.037072,34.77643
תל אביב -יפו,יפו ד - גבעת התמרים,32.035473,34.759731
בת ים,שיכון חדש,32.014589,34.762029
חולון,קרית בן גוריון,32.000997,34.759385
"כפר חב""ד",כפר חב''ד,31.993158,34.85299
לוד,שרת ורמט,31.947727,34.879123
רמלה,השופטים צפון,31.928779,34.877264
לא ידוע קוד-0,גני אביב,31.966948,34.87875
רחובות,מכון וייצמן והפקולטה לחקלאות,31.908729,34.806323
באר יעקב,"חוטר, בית חולים שמואל הרופא",31.932736,34.828582
נמל תעופה בן-גוריון,נמל תעופה בן גוריון,32.000321,34.870454
הוד השרון,1202 עתידי,32.167325,34.917415
ראש העין,,32.120866,34.934474
ראשון לציון,ראשונים,31.94897,34.80264
הוד השרון,מתחם 1200,32.170172,34.901588
ראשון לציון,אזור תעשייה מערב,31.987993,34.75734
תל אביב -יפו,שפירא,32.053983,34.784786
הרצלייה,נחלת עדה וגן רש''ל,32.180046,34.850761
רעננה,צומת רעננה אמדוקס,32.172613,34.88629
בני ברק,קניון אילון ואיצטדיון ר''ג,32.102471,34.827954
הרצלייה,קרית שחקים,32.164254,34.818735
תל אביב -יפו,צמרות איילון,32.083113,34.796077
הרצלייה,קרית ספורט ובינתחומי,32.171309,34.824844
הרצלייה,קרית ספורט ובינתחומי,32.170848,34.824839
תל אביב -יפו,מונטיפיורי,32.061296,34.784794
תל אביב -יפו,לב תל אביב,32.062412,34.774201
תל אביב -יפו,מונטיפיורי,32.06704,34.785046
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.095191,34.780964
רמת גן,הבורסה,32.084059,34.800306
